telegram_date,telegram_time,instrument,positive_above,negative_below,direction_or_option,option_strike,option_premium,claimed_target_result,evidence_class,source_post_id,source_link,raw_evidence,notes
2026-09-16,03:55,NIFTY,,23242,negative/bearish,,,,pre-trade,195102,https://t.me/DrDevendraRenkoKing/195102,"Red bar levels in Nifty | Negative Below 23242","Explicit pre-announced Red Bar index level"
2026-09-16,03:56,NIFTY,23244,,positive/bullish,,,,pre-trade,195103,https://t.me/DrDevendraRenkoKing/195103,"Red bar levels in Nifty | positive Above 23244","Explicit pre-announced Red Bar index level; 2-point decision band with negative level"
2026-09-16,03:58,BANKNIFTY,,56087,negative/bearish,,,,pre-trade,195104,https://t.me/DrDevendraRenkoKing/195104,"Red bar levels in Bank Nifty | Negative Below 56087","Explicit pre-announced Red Bar index level"
2026-09-16,03:58,BANKNIFTY,56094,,positive/bullish,,,,pre-trade,195105,https://t.me/DrDevendraRenkoKing/195105,"Red bar levels in Bank Nifty | positive Above 56094","Explicit pre-announced Red Bar index level; 7-point decision band with negative level"
2026-09-16,04:02,NIFTY,,,negative/bearish,,,"Low 23180 from red bar levels",post-result,195106,https://t.me/DrDevendraRenkoKing/195106,"NIFTY made a Low of 23180 from the red bar levels.","Subsequent result claim; 62 points below pre-announced 23242 negative threshold; external Telegram claim only"
2026-09-16,04:05,BANKNIFTY,,,negative/bearish,,,"Low 55910 from red bar levels",post-result,195109,https://t.me/DrDevendraRenkoKing/195109,"BANK NIFTY made a Low of 55910 from the red bar levels.","Subsequent result claim; 177 points below pre-announced 56087 negative threshold; external Telegram claim only"
2026-09-16,04:06,SENSEX,,,PE,74200,"240 to 330+","74200 PE 240 to 330+",post-result,195110,https://t.me/DrDevendraRenkoKing/195110,"SENSEX 74200 PE trigger from 240 to 330+","No visible preceding trigger captured; result claim only"
2026-09-16,04:16,NIFTY,,,negative/bearish,,,"Low 23115 from red bar levels",post-result,195115,https://t.me/DrDevendraRenkoKing/195115,"NIFTY made a Low of 23115 from the red bar levels.","Extension result claim; 127 points below pre-announced 23242 negative threshold; external Telegram claim only"
2026-09-16,04:18,SENSEX,,,PE,74100,"270 to 385+","74100 PE 270 to 385+",post-result,195116,https://t.me/DrDevendraRenkoKing/195116,"SENSEX 74100 PE trigger from 270 to 385+","No visible preceding trigger captured; result claim only"
2026-09-16,04:30,SENSEX,,,CE,74400,"220 to 340+","74400 CE 220 to 340+",post-result,195119,https://t.me/DrDevendraRenkoKing/195119,"SENSEX 74400 CE trigger from 220 to 340+","Opposite-side CE result later in same session; no visible preceding trigger captured, so not counted as prospective Red Bar validation"
2026-09-16,06:06,SENSEX,,,PE,74300,"282 to 340+","74300 PE 282 to 340+",post-result,195122,https://t.me/DrDevendraRenkoKing/195122,"SENSEX 74300 PE trigger from 282 to 340+","No visible preceding 282 trigger captured; post-result claim only; external Telegram evidence, not backtest truth"
2026-09-16,08:02,SENSEX,,,PE,74200,"225 to 280+","74200 PE 225 to 280+",post-result,195130,https://t.me/DrDevendraRenkoKing/195130,"SENSEX 74200 PE trigger from 225 to 280+🔥🔥","No visible preceding 225 trigger captured; post-result claim only; external Telegram evidence, not prospective Red Bar validation"
2026-09-16,14:34,NIFTY,,,,,,,post-result,195169,https://t.me/DrDevendraRenkoKing/195169,"TODAY NIFTY PERFORMANCE BASED ON DR D TRIKAL/RED BAR STRATEGY","Public preview exposes only the performance-summary caption; underlying media values are not available in parsed preview, so no levels/targets/options inferred. External result-summary evidence only; not prospective validation."
