telegram_date,telegram_time,instrument,redbar_positive_above,redbar_negative_below,direction_or_option,option_strike,premium_claim,claimed_target_result,evidence_class,raw_evidence,source_post_identifier,source_link,research_stream
2026-09-18,03:55,BANKNIFTY,,56198,,,,,publicly_pre_announced,"Red bar levels in Bank Nifty / Negative Below 56198",195277,https://t.me/DrDevendraRenkoKing/195277,Indian Indices Trading Brain Red Bar
2026-09-18,03:55,BANKNIFTY,56203,,,,,,publicly_pre_announced,"Red bar levels in Bank Nifty / positive Above 56203",195278,https://t.me/DrDevendraRenkoKing/195278,Indian Indices Trading Brain Red Bar
2026-09-18,04:00,NIFTY,23310,,,,,,publicly_pre_announced,"Red bar levels in Nifty / positive Above 23310",195279,https://t.me/DrDevendraRenkoKing/195279,Indian Indices Trading Brain Red Bar
2026-09-18,04:00,NIFTY,,23308,,,,,publicly_pre_announced,"Red bar levels in Nifty / Negative Below 23308",195280,https://t.me/DrDevendraRenkoKing/195280,Indian Indices Trading Brain Red Bar
2026-09-18,05:13,BANKNIFTY,,56198,bearish,,,"BANK NIFTY made a Low of 56105 from the red bar levels.",post_result_linked_to_public_preannouncement,"BANK NIFTY made a Low of 56105 from the red bar levels.",195284,https://t.me/DrDevendraRenkoKing/195284,Indian Indices Trading Brain Red Bar
2026-09-18,07:45,NIFTY,23332,,bullish,,,,publicly_pre_announced_trikal,"12.45 Trikal strategy in NIFTY / Positive Above 23332",195295,https://t.me/DrDevendraRenkoKing/195295,Indian Indices Trading Brain Red Bar
2026-09-18,07:45,NIFTY,,23330,bearish,,,,publicly_pre_announced_trikal,"12.45 Trikal strategy in NIFTY / Negative Below 23330",195296,https://t.me/DrDevendraRenkoKing/195296,Indian Indices Trading Brain Red Bar
2026-09-18,07:46,BANKNIFTY,,56385,bearish,,,,publicly_pre_announced_trikal,"12.45 Trikal strategy in BANK NIFTY / Negative Below 56385",195297,https://t.me/DrDevendraRenkoKing/195297,Indian Indices Trading Brain Red Bar
2026-09-18,07:46,BANKNIFTY,56393,,bullish,,,,publicly_pre_announced_trikal,"12.45 Trikal strategy in BANK NIFTY / Positive Above 56393",195298,https://t.me/DrDevendraRenkoKing/195298,Indian Indices Trading Brain Red Bar
2026-09-18,08:19,BANKNIFTY,,56385,bearish,,,"BANK NIFTY touched a low of 56230 following the 12:45 PM Levels",post_result_linked_to_public_preannouncement_trikal,"BANK NIFTY touched a low of 56230 following the 12:45 PM Levels",195300,https://t.me/DrDevendraRenkoKing/195300,Indian Indices Trading Brain Red Bar
2026-09-18,08:39,NIFTY,,,CE,23300,"106 to 121+","NIFTY 23300 CE trigger from 106 to 121+",result_only_provenance_unknown,"NIFTY 23300 CE trigger from 106 to 121+🔥🔥",195306,https://t.me/DrDevendraRenkoKing/195306,Indian Indices Trading Brain Red Bar
2026-09-18,14:30,INDICES,,,,,,,methodology_media_values_not_exposed,"Renko Box Size for Indices",195364,https://t.me/DrDevendraRenkoKing/195364,Indian Indices Trading Brain Red Bar
