date,time_telegram,time_ist,instrument,framework,positive_above,negative_below,direction_or_option,strike,premium_from,premium_to,claimed_result,evidence_class,post_id,source_link,raw_wording,notes
2026-09-21,03:55 UTC,09:25 IST,NIFTY,Red Bar,23382,23381,,,,,,publicly pre-announced,195399,https://t.me/DrDevendraRenkoKing/195399,"Red bar levels in Nifty / Negative Below 23381",Prospective negative threshold published before result
2026-09-21,03:55 UTC,09:25 IST,NIFTY,Red Bar,23382,23381,,,,,,publicly pre-announced,195400,https://t.me/DrDevendraRenkoKing/195400,"Red bar levels in Nifty / positive Above 23382",Prospective positive threshold published before result
2026-09-21,04:02 UTC,09:32 IST,NIFTY,Associated option result,,,CE,23300,120,140+,"120 to 140+",result-only / provenance unknown,195401,https://t.me/DrDevendraRenkoKing/195401,"NIFTY 23300 CE trigger from 120 to 140+🔥🔥",No earlier public premium-120 trigger established in this run; do not treat as pre-announced Red Bar trade
2026-09-21,04:06 UTC,09:36 IST,BANKNIFTY,Red Bar,56472,56468,,,,,,publicly pre-announced,195402,https://t.me/DrDevendraRenkoKing/195402,"Red bar levels in Bank Nifty / Negative Below 56468",Prospective negative threshold published before result
2026-09-21,04:06 UTC,09:36 IST,BANKNIFTY,Red Bar,56472,56468,,,,,,publicly pre-announced,195403,https://t.me/DrDevendraRenkoKing/195403,"Red bar levels in Bank Nifty / positive Above 56472",Prospective positive threshold published before result
2026-09-21,04:07 UTC,09:37 IST,NIFTY,Red Bar follow-through,23382,23381,bullish,,,,"high 23405",post-result linked to public pre-announcement,195404,https://t.me/DrDevendraRenkoKing/195404,"NIFTY made a high of 23405 from the red bar levels.",Claimed +23 points above positive threshold; external Telegram claim not backtest truth
2026-09-21,04:36 UTC,10:06 IST,BANKNIFTY,Red Bar follow-through,56472,56468,bearish,,,,"low 56370",post-result linked to public pre-announcement,195405,https://t.me/DrDevendraRenkoKing/195405,"BANK NIFTY made a Low of 56370 from the red bar levels.",Claimed 98 points below negative threshold; external Telegram claim not backtest truth
2026-09-21,06:28 UTC,11:58 IST,NIFTY,Associated option result,,,CE,23300,130,148+,"130 to 148+",result-only / provenance unknown,195409,https://t.me/DrDevendraRenkoKing/195409,"NIFTY 23300 CE trigger from 130 to 148+🔥🔥",No preceding public premium-130 entry found in preview; preserve as result claim only
2026-09-21,06:30 UTC,12:00 IST,NIFTY,Red Bar follow-through,23382,23381,bullish,,,,"high 23430",post-result linked to public pre-announcement,195410,https://t.me/DrDevendraRenkoKing/195410,"NIFTY made a high of 23430 from the red bar levels.",Claimed +48 points above pre-announced positive threshold 23382; external Telegram claim not independently verified market replay
2026-09-21,07:45 UTC,13:15 IST,NIFTY,12:45 Trikal,23409,23408,,,,,,publicly pre-announced,195412,https://t.me/DrDevendraRenkoKing/195412,"12.45 Trikal strategy in NIFTY / Positive Above 23409",Prospective Trikal positive threshold; adjacent Indian-indices methodology evidence, not mislabeled as Red Bar
2026-09-21,07:45 UTC,13:15 IST,NIFTY,12:45 Trikal,23409,23408,,,,,,publicly pre-announced,195413,https://t.me/DrDevendraRenkoKing/195413,"12.45 Trikal strategy in NIFTY / Negative Below 23408",Prospective Trikal negative threshold
2026-09-21,07:47 UTC,13:17 IST,BANKNIFTY,12:45 Trikal,56454,56452,,,,,,publicly pre-announced,195414,https://t.me/DrDevendraRenkoKing/195414,"12.45 Trikal strategy in BANK NIFTY / Positive Above 56454",Prospective Trikal positive threshold
2026-09-21,07:47 UTC,13:17 IST,BANKNIFTY,12:45 Trikal,56454,56452,,,,,,publicly pre-announced,195415,https://t.me/DrDevendraRenkoKing/195415,"12.45 Trikal strategy in BANK NIFTY / Negative Below 56452",Prospective Trikal negative threshold
2026-09-21,07:59 UTC,13:29 IST,NIFTY,Associated option result,,,CE,23300,136,151+,"136 to 151+",result-only / provenance unknown,195416,https://t.me/DrDevendraRenkoKing/195416,"NIFTY 23300 CE trigger from 136 to 151+🔥🔥",No public premium-136 pre-trade trigger established; do not promote to prospective evidence
2026-09-21,08:09 UTC,13:39 IST,BANKNIFTY,12:45 Trikal follow-through,56454,56452,bullish,,,,"high 56580",post-result linked to public pre-announcement,195418,https://t.me/DrDevendraRenkoKing/195418,"BANK NIFTY touched a High of 56580 following the 12:45 PM Levels",Claimed +126 points above pre-announced positive threshold 56454; Telegram claim, not independent replay truth
2026-09-21,08:11 UTC,13:41 IST,NIFTY,12:45 Trikal follow-through,23409,23408,bullish,,,,"high 23435",post-result linked to public pre-announcement,195419,https://t.me/DrDevendraRenkoKing/195419,"NIFTY touched a High of 23435 following the 12:45 PM Levels",Claimed +26 points above pre-announced positive threshold 23409; Telegram claim, not independent replay truth
2026-09-21,08:31 UTC,14:01 IST,NIFTY,12:45 Trikal follow-through,23409,23408,bullish,,,,"high 23465",post-result linked to public pre-announcement,195420,https://t.me/DrDevendraRenkoKing/195420,"NIFTY touched a High of 23465 following the 12:45 PM Levels",Claimed +56 points above pre-announced positive threshold 23409; external Telegram result claim only
2026-09-21,08:34 UTC,14:04 IST,BANKNIFTY,12:45 Trikal follow-through,56454,56452,bullish,,,,"high 56660",post-result linked to public pre-announcement,195421,https://t.me/DrDevendraRenkoKing/195421,"BANK NIFTY touched a High of 56660 following the 12:45 PM Levels",Claimed +206 points above pre-announced positive threshold 56454; external Telegram result claim only
2026-09-21,08:35 UTC,14:05 IST,NIFTY,Associated option result,,,CE,23400,71,109+,"71 to 109+",result-only / provenance unknown,195422,https://t.me/DrDevendraRenkoKing/195422,"NIFTY 23400 CE trigger from 71 to 109+🔥🔥",No preceding public premium-71 trigger visible in public preview; do not treat as prospective trade evidence
2026-09-21,14:24 UTC,19:54 IST,NIFTY,Red Bar/Trikal performance recap,,,,,,,,"performance image; numeric contents not readable in public text preview",post-result / image evidence unread,,https://t.me/s/DrDevendraRenkoKing,"TODAY NIFTY PERFORMANCE BASED ON DR D TRIKAL/RED BAR STRATEGY","Late-session performance recap visible in public preview. Preserve wording only; do not infer levels, direction, option premium, or result from inaccessible image. Exact post identifier not exposed by current preview retrieval."
